@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
774,'2021/06/24 18:52:37:713',25,220,140,92,0.18,0.73,0.42,0.64,0.76,0.36
775,'2021/06/24 18:52:37:768',25,221,140,92,0.18,0.73,0.42,0.64,0.76,0.36
776,'2021/06/24 18:52:37:829',25,219,138,94,0.18,0.73,0.42,0.64,0.76,0.36
777,'2021/06/24 18:52:37:889',25,218,138,94,0.18,0.73,0.42,0.64,0.76,0.36
778,'2021/06/24 18:52:37:943',25,218,138,94,0.18,0.73,0.42,0.64,0.76,0.36
779,'2021/06/24 18:52:37:996',25,218,137,96,0.18,0.73,0.42,0.64,0.76,0.36
780,'2021/06/24 18:52:38:049',25,218,137,96,0.18,0.73,0.42,0.64,0.76,0.36
781,'2021/06/24 18:52:38:106',25,218,137,96,0.18,0.73,0.42,0.64,0.76,0.36
782,'2021/06/24 18:52:38:162',25,218,137,96,0.18,0.73,0.42,0.64,0.76,0.36
783,'2021/06/24 18:52:38:217',25,218,137,96,0.18,0.73,0.42,0.64,0.76,0.36
784,'2021/06/24 18:52:38:268',25,218,137,96,0.18,0.73,0.42,0.64,0.76,0.36
785,'2021/06/24 18:52:38:321',25,218,136,96,0.18,0.73,0.42,0.64,0.76,0.36
786,'2021/06/24 18:52:38:373',25,218,136,96,0.18,0.73,0.42,0.64,0.76,0.36
787,'2021/06/24 18:52:38:430',25,218,136,96,0.18,0.73,0.42,0.64,0.76,0.36
788,'2021/06/24 18:52:38:495',25,217,136,95,0.18,0.73,0.42,0.64,0.76,0.36
789,'2021/06/24 18:52:38:555',25,216,137,96,0.18,0.73,0.42,0.64,0.76,0.36
790,'2021/06/24 18:52:38:616',25,216,137,96,0.18,0.73,0.42,0.64,0.76,0.36
791,'2021/06/24 18:52:38:670',25,215,137,97,0.18,0.73,0.42,0.64,0.76,0.36
792,'2021/06/24 18:52:38:723',25,214,136,97,0.18,0.73,0.42,0.64,0.76,0.36
793,'2021/06/24 18:52:38:775',25,217,136,94,0.18,0.73,0.42,0.64,0.76,0.36
794,'2021/06/24 18:52:38:827',25,218,138,94,0.18,0.73,0.42,0.64,0.76,0.36
795,'2021/06/24 18:52:38:881',25,218,136,94,0.18,0.73,0.42,0.64,0.76,0.36
796,'2021/06/24 18:52:38:935',25,216,134,96,0.18,0.73,0.42,0.64,0.76,0.36
797,'2021/06/24 18:52:38:988',25,218,136,94,0.18,0.73,0.42,0.64,0.76,0.36
798,'2021/06/24 18:52:39:042',25,218,136,94,0.18,0.73,0.42,0.64,0.76,0.36
799,'2021/06/24 18:52:39:098',25,218,136,94,0.18,0.73,0.42,0.64,0.76,0.36
800,'2021/06/24 18:52:39:152',25,218,137,93,0.18,0.73,0.42,0.64,0.76,0.36
801,'2021/06/24 18:52:39:204',25,217,135,94,0.18,0.73,0.42,0.64,0.76,0.36
802,'2021/06/24 18:52:39:257',25,217,135,94,0.18,0.73,0.42,0.64,0.76,0.36
803,'2021/06/24 18:52:39:310',25,218,136,93,0.18,0.73,0.42,0.64,0.76,0.36
804,'2021/06/24 18:52:39:363',25,218,136,94,0.18,0.73,0.42,0.64,0.76,0.36
805,'2021/06/24 18:52:39:416',25,217,135,94,0.18,0.73,0.42,0.64,0.76,0.36
806,'2021/06/24 18:52:44:047',26,220,127,94,0.18,0.73,0.42,0.64,0.76,0.36
807,'2021/06/24 18:52:44:101',26,219,127,95,0.18,0.73,0.42,0.64,0.76,0.36
808,'2021/06/24 18:52:44:156',26,220,127,94,0.18,0.73,0.42,0.64,0.76,0.36
809,'2021/06/24 18:52:44:209',26,219,126,96,0.18,0.73,0.42,0.64,0.76,0.36
810,'2021/06/24 18:52:44:262',26,219,127,94,0.18,0.73,0.42,0.64,0.76,0.36
811,'2021/06/24 18:52:44:316',26,218,126,95,0.18,0.73,0.42,0.64,0.76,0.36
812,'2021/06/24 18:52:44:371',26,216,126,98,0.18,0.73,0.42,0.64,0.76,0.36
813,'2021/06/24 18:52:44:425',26,219,127,95,0.18,0.73,0.42,0.64,0.76,0.36
814,'2021/06/24 18:52:44:478',26,221,127,94,0.18,0.73,0.42,0.64,0.76,0.36
815,'2021/06/24 18:52:44:531',26,222,127,92,0.18,0.73,0.42,0.64,0.76,0.36
816,'2021/06/24 18:52:44:586',26,222,127,92,0.18,0.73,0.42,0.64,0.76,0.36
817,'2021/06/24 18:52:44:639',26,221,126,92,0.18,0.73,0.42,0.64,0.76,0.36
818,'2021/06/24 18:52:44:696',26,221,126,93,0.18,0.73,0.42,0.64,0.76,0.36
819,'2021/06/24 18:52:44:750',26,221,128,92,0.18,0.73,0.42,0.64,0.76,0.36
820,'2021/06/24 18:52:44:804',26,222,127,92,0.18,0.73,0.42,0.64,0.76,0.36
821,'2021/06/24 18:52:44:858',26,221,127,93,0.18,0.73,0.42,0.64,0.76,0.36
822,'2021/06/24 18:52:44:919',26,220,127,93,0.18,0.73,0.42,0.64,0.76,0.36
823,'2021/06/24 18:52:44:972',26,221,127,92,0.18,0.73,0.42,0.64,0.76,0.36
824,'2021/06/24 18:52:45:025',26,221,127,92,0.18,0.73,0.42,0.64,0.76,0.36
825,'2021/06/24 18:52:45:078',26,220,127,93,0.18,0.73,0.42,0.64,0.76,0.36
826,'2021/06/24 18:52:45:134',26,219,126,93,0.18,0.73,0.42,0.64,0.76,0.36
827,'2021/06/24 18:52:45:187',26,220,126,94,0.18,0.73,0.42,0.64,0.76,0.36
828,'2021/06/24 18:52:46:941',27,205,136,96,0.18,0.73,0.42,0.64,0.76,0.36
829,'2021/06/24 18:52:46:997',27,206,137,95,0.18,0.73,0.42,0.64,0.76,0.36
830,'2021/06/24 18:52:47:053',27,206,137,95,0.18,0.73,0.42,0.64,0.76,0.36
831,'2021/06/24 18:52:47:106',27,206,137,95,0.18,0.73,0.42,0.64,0.76,0.36
832,'2021/06/24 18:52:47:163',27,206,137,95,0.18,0.73,0.42,0.64,0.76,0.36
833,'2021/06/24 18:52:47:216',27,205,137,95,0.18,0.73,0.42,0.64,0.76,0.36
834,'2021/06/24 18:52:47:270',27,205,137,96,0.18,0.73,0.42,0.64,0.76,0.36
835,'2021/06/24 18:52:47:322',27,204,136,96,0.18,0.73,0.42,0.64,0.76,0.36
836,'2021/06/24 18:52:47:375',27,205,137,95,0.18,0.73,0.42,0.64,0.76,0.36
837,'2021/06/24 18:52:47:428',27,204,136,96,0.18,0.73,0.42,0.64,0.76,0.36
838,'2021/06/24 18:52:47:482',27,204,137,96,0.18,0.73,0.42,0.64,0.76,0.36
839,'2021/06/24 18:52:47:535',27,204,136,96,0.18,0.73,0.42,0.64,0.76,0.36
840,'2021/06/24 18:52:47:591',27,205,137,95,0.18,0.73,0.42,0.64,0.76,0.36
841,'2021/06/24 18:52:47:645',27,205,136,95,0.18,0.73,0.42,0.64,0.76,0.36
842,'2021/06/24 18:52:47:706',27,203,135,97,0.18,0.73,0.42,0.64,0.76,0.36
843,'2021/06/24 18:52:47:759',27,204,136,96,0.18,0.73,0.42,0.64,0.76,0.36
844,'2021/06/24 18:52:47:812',27,203,135,96,0.18,0.73,0.42,0.64,0.76,0.36
845,'2021/06/24 18:52:47:866',27,204,135,96,0.18,0.73,0.42,0.64,0.76,0.36
846,'2021/06/24 18:52:47:920',27,202,133,98,0.18,0.73,0.42,0.64,0.76,0.36
847,'2021/06/24 18:52:47:973',27,205,136,95,0.18,0.73,0.42,0.64,0.76,0.36
848,'2021/06/24 18:52:48:030',27,204,135,97,0.18,0.73,0.42,0.64,0.76,0.36
849,'2021/06/24 18:52:48:083',27,203,134,97,0.18,0.73,0.42,0.64,0.76,0.36
850,'2021/06/24 18:52:48:136',27,204,135,96,0.18,0.73,0.42,0.64,0.76,0.36
851,'2021/06/24 18:52:48:197',27,205,136,94,0.18,0.73,0.42,0.64,0.76,0.36
852,'2021/06/24 18:52:48:251',27,205,135,96,0.18,0.73,0.42,0.64,0.76,0.36
853,'2021/06/24 18:52:48:304',27,203,134,97,0.18,0.73,0.42,0.64,0.76,0.36
854,'2021/06/24 18:52:48:358',27,203,134,97,0.18,0.73,0.42,0.64,0.76,0.36
855,'2021/06/24 18:52:48:411',27,204,134,95,0.18,0.73,0.42,0.64,0.76,0.36
856,'2021/06/24 18:52:48:465',27,204,134,95,0.18,0.73,0.42,0.64,0.76,0.36
857,'2021/06/24 18:52:48:519',27,203,133,98,0.18,0.73,0.42,0.64,0.76,0.36
858,'2021/06/24 18:52:49:914',28,220,140,92,0.18,0.73,0.42,0.64,0.76,0.36
859,'2021/06/24 18:52:49:969',28,222,140,92,0.18,0.73,0.42,0.64,0.76,0.36
860,'2021/06/24 18:52:50:021',28,220,138,93,0.18,0.73,0.42,0.64,0.76,0.36
861,'2021/06/24 18:52:50:074',28,221,140,91,0.18,0.73,0.42,0.64,0.76,0.36
862,'2021/06/24 18:52:50:130',28,219,138,94,0.18,0.73,0.42,0.64,0.76,0.36
863,'2021/06/24 18:52:50:183',28,218,137,95,0.18,0.73,0.42,0.64,0.76,0.36
864,'2021/06/24 18:52:50:237',28,220,139,92,0.18,0.73,0.42,0.64,0.76,0.36
865,'2021/06/24 18:52:50:289',28,220,138,93,0.18,0.73,0.42,0.64,0.76,0.36
866,'2021/06/24 18:52:50:342',28,220,139,92,0.18,0.73,0.42,0.64,0.76,0.36
867,'2021/06/24 18:52:50:395',28,220,139,92,0.18,0.73,0.42,0.64,0.76,0.36
868,'2021/06/24 18:52:50:449',28,220,138,93,0.18,0.73,0.42,0.64,0.76,0.36
869,'2021/06/24 18:52:50:503',28,220,138,93,0.18,0.73,0.42,0.64,0.76,0.36
870,'2021/06/24 18:52:50:557',28,220,139,92,0.18,0.73,0.42,0.64,0.76,0.36
871,'2021/06/24 18:52:50:609',28,220,139,92,0.18,0.73,0.42,0.64,0.76,0.36
872,'2021/06/24 18:52:50:665',28,220,139,92,0.18,0.73,0.42,0.64,0.76,0.36
873,'2021/06/24 18:52:50:719',28,220,139,92,0.18,0.73,0.42,0.64,0.76,0.36
874,'2021/06/24 18:52:50:772',28,220,140,91,0.18,0.73,0.42,0.64,0.76,0.36
875,'2021/06/24 18:52:50:825',28,219,139,93,0.18,0.73,0.42,0.64,0.76,0.36
876,'2021/06/24 18:52:50:878',28,220,140,91,0.18,0.73,0.42,0.64,0.76,0.36
877,'2021/06/24 18:52:50:931',28,220,139,92,0.18,0.73,0.42,0.64,0.76,0.36
878,'2021/06/24 18:52:50:984',28,220,140,92,0.18,0.73,0.42,0.64,0.76,0.36
879,'2021/06/24 18:52:51:037',28,220,139,92,0.18,0.73,0.42,0.64,0.76,0.36
880,'2021/06/24 18:52:51:090',28,218,139,93,0.18,0.73,0.42,0.64,0.76,0.36
881,'2021/06/24 18:52:51:145',28,219,141,91,0.18,0.73,0.42,0.64,0.76,0.36
882,'2021/06/24 18:52:51:199',28,216,139,93,0.18,0.73,0.42,0.64,0.76,0.36
883,'2021/06/24 18:52:51:252',28,217,139,93,0.18,0.73,0.42,0.64,0.76,0.36
884,'2021/06/24 18:53:09:130',29,214,129,101,0.18,0.73,0.42,0.64,0.76,0.36
885,'2021/06/24 18:53:09:184',29,214,128,101,0.18,0.73,0.42,0.64,0.76,0.36
886,'2021/06/24 18:53:09:238',29,214,128,99,0.18,0.73,0.42,0.64,0.76,0.36
887,'2021/06/24 18:53:09:292',29,212,125,103,0.18,0.73,0.42,0.64,0.76,0.36
888,'2021/06/24 18:53:09:344',29,213,126,101,0.18,0.73,0.42,0.64,0.76,0.36
889,'2021/06/24 18:53:09:396',29,211,127,103,0.18,0.73,0.42,0.64,0.76,0.36
890,'2021/06/24 18:53:09:453',29,212,127,103,0.18,0.73,0.42,0.64,0.76,0.36
891,'2021/06/24 18:53:09:506',29,213,127,101,0.18,0.73,0.42,0.64,0.76,0.36
892,'2021/06/24 18:53:09:563',29,210,123,105,0.18,0.73,0.42,0.64,0.76,0.36
893,'2021/06/24 18:53:09:620',29,210,123,105,0.18,0.73,0.42,0.64,0.76,0.36
894,'2021/06/24 18:53:09:676',29,215,127,100,0.18,0.73,0.42,0.64,0.76,0.36
895,'2021/06/24 18:53:09:729',29,214,126,101,0.18,0.73,0.42,0.64,0.76,0.36
896,'2021/06/24 18:53:09:782',29,215,127,100,0.18,0.73,0.42,0.64,0.76,0.36
897,'2021/06/24 18:53:09:839',29,213,130,101,0.18,0.73,0.42,0.64,0.76,0.36
898,'2021/06/24 18:53:09:892',29,213,129,101,0.18,0.73,0.42,0.64,0.76,0.36
899,'2021/06/24 18:53:09:945',29,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
900,'2021/06/24 18:53:09:997',29,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
901,'2021/06/24 18:53:10:049',29,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
902,'2021/06/24 18:53:10:101',29,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
903,'2021/06/24 18:53:10:154',29,213,129,101,0.18,0.73,0.42,0.64,0.76,0.36
904,'2021/06/24 18:53:10:207',29,214,127,101,0.18,0.73,0.42,0.64,0.76,0.36
905,'2021/06/24 18:53:10:259',29,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
906,'2021/06/24 18:53:10:312',29,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
907,'2021/06/24 18:53:10:364',29,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
908,'2021/06/24 18:53:10:419',29,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
909,'2021/06/24 18:53:10:473',29,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
910,'2021/06/24 18:53:14:180',30,213,123,101,0.18,0.73,0.42,0.64,0.76,0.36
911,'2021/06/24 18:53:14:232',30,210,122,104,0.18,0.73,0.42,0.64,0.76,0.36
912,'2021/06/24 18:53:14:286',30,210,122,104,0.18,0.73,0.42,0.64,0.76,0.36
913,'2021/06/24 18:53:14:338',30,210,122,104,0.18,0.73,0.42,0.64,0.76,0.36
914,'2021/06/24 18:53:14:389',30,210,122,104,0.18,0.73,0.42,0.64,0.76,0.36
915,'2021/06/24 18:53:14:443',30,212,122,104,0.18,0.73,0.42,0.64,0.76,0.36
916,'2021/06/24 18:53:14:498',30,210,120,103,0.18,0.73,0.42,0.64,0.76,0.36
917,'2021/06/24 18:53:14:551',30,209,119,106,0.18,0.73,0.42,0.64,0.76,0.36
918,'2021/06/24 18:53:14:604',30,210,120,103,0.18,0.73,0.42,0.64,0.76,0.36
919,'2021/06/24 18:53:14:656',30,210,120,103,0.18,0.73,0.42,0.64,0.76,0.36
920,'2021/06/24 18:53:14:708',30,210,120,103,0.18,0.73,0.42,0.64,0.76,0.36
921,'2021/06/24 18:53:14:760',30,210,120,103,0.18,0.73,0.42,0.64,0.76,0.36
922,'2021/06/24 18:53:14:814',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
923,'2021/06/24 18:53:14:867',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
924,'2021/06/24 18:53:14:920',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
925,'2021/06/24 18:53:14:977',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
926,'2021/06/24 18:53:15:028',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
927,'2021/06/24 18:53:15:081',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
928,'2021/06/24 18:53:15:134',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
929,'2021/06/24 18:53:15:188',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
930,'2021/06/24 18:53:15:240',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
931,'2021/06/24 18:53:15:293',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
932,'2021/06/24 18:53:15:346',30,209,122,106,0.18,0.73,0.42,0.64,0.76,0.36
933,'2021/06/24 18:53:15:398',30,212,122,104,0.18,0.73,0.42,0.64,0.76,0.36
934,'2021/06/24 18:53:15:451',30,212,122,104,0.18,0.73,0.42,0.64,0.76,0.36
935,'2021/06/24 18:53:15:503',30,212,122,104,0.18,0.73,0.42,0.64,0.76,0.36
936,'2021/06/24 18:53:15:556',30,215,126,99,0.18,0.73,0.42,0.64,0.76,0.36
937,'2021/06/24 18:53:15:612',30,215,126,99,0.18,0.73,0.42,0.64,0.76,0.36
938,'2021/06/24 18:53:15:663',30,215,126,99,0.18,0.73,0.42,0.64,0.76,0.36
939,'2021/06/24 18:53:15:716',30,209,124,106,0.18,0.73,0.42,0.64,0.76,0.36
940,'2021/06/24 18:53:15:770',30,209,124,106,0.18,0.73,0.42,0.64,0.76,0.36
941,'2021/06/24 18:53:15:826',30,209,124,106,0.18,0.73,0.42,0.64,0.76,0.36
942,'2021/06/24 18:53:15:881',30,209,124,106,0.18,0.73,0.42,0.64,0.76,0.36
943,'2021/06/24 18:53:15:936',30,212,122,104,0.18,0.73,0.42,0.64,0.76,0.36
944,'2021/06/24 18:53:17:259',31,210,123,102,0.18,0.73,0.42,0.64,0.76,0.36
945,'2021/06/24 18:53:17:312',31,211,122,101,0.18,0.73,0.42,0.64,0.76,0.36
946,'2021/06/24 18:53:17:367',31,210,122,103,0.18,0.73,0.42,0.64,0.76,0.36
947,'2021/06/24 18:53:17:425',31,212,123,100,0.18,0.73,0.42,0.64,0.76,0.36
948,'2021/06/24 18:53:17:486',31,211,122,102,0.18,0.73,0.42,0.64,0.76,0.36
949,'2021/06/24 18:53:17:538',31,211,122,101,0.18,0.73,0.42,0.64,0.76,0.36
950,'2021/06/24 18:53:17:591',31,211,123,101,0.18,0.73,0.42,0.64,0.76,0.36
951,'2021/06/24 18:53:17:643',31,213,123,100,0.18,0.73,0.42,0.64,0.76,0.36
952,'2021/06/24 18:53:17:701',31,210,121,103,0.18,0.73,0.42,0.64,0.76,0.36
953,'2021/06/24 18:53:17:754',31,210,121,103,0.18,0.73,0.42,0.64,0.76,0.36
954,'2021/06/24 18:53:17:806',31,211,122,102,0.18,0.73,0.42,0.64,0.76,0.36
955,'2021/06/24 18:53:17:859',31,211,122,102,0.18,0.73,0.42,0.64,0.76,0.36
956,'2021/06/24 18:53:17:910',31,212,123,101,0.18,0.73,0.42,0.64,0.76,0.36
957,'2021/06/24 18:53:17:962',31,210,122,103,0.18,0.73,0.42,0.64,0.76,0.36
958,'2021/06/24 18:53:18:014',31,211,123,101,0.18,0.73,0.42,0.64,0.76,0.36
959,'2021/06/24 18:53:18:066',31,211,121,103,0.18,0.73,0.42,0.64,0.76,0.36
960,'2021/06/24 18:53:18:119',31,210,122,103,0.18,0.73,0.42,0.64,0.76,0.36
961,'2021/06/24 18:53:18:172',31,211,123,100,0.18,0.73,0.42,0.64,0.76,0.36
962,'2021/06/24 18:53:18:224',31,214,123,99,0.18,0.73,0.42,0.64,0.76,0.36
963,'2021/06/24 18:53:18:277',31,214,124,98,0.18,0.73,0.42,0.64,0.76,0.36
964,'2021/06/24 18:53:18:330',31,214,124,99,0.18,0.73,0.42,0.64,0.76,0.36
965,'2021/06/24 18:53:19:606',32,221,127,94,0.18,0.73,0.42,0.64,0.76,0.36
966,'2021/06/24 18:53:19:659',32,221,127,94,0.18,0.73,0.42,0.64,0.76,0.36
967,'2021/06/24 18:53:19:714',32,221,127,94,0.18,0.73,0.42,0.64,0.76,0.36
968,'2021/06/24 18:53:19:767',32,221,127,94,0.18,0.73,0.42,0.64,0.76,0.36
969,'2021/06/24 18:53:19:821',32,221,127,94,0.18,0.73,0.42,0.64,0.76,0.36
970,'2021/06/24 18:53:19:873',32,218,127,97,0.18,0.73,0.42,0.64,0.76,0.36
971,'2021/06/24 18:53:19:925',32,218,127,97,0.18,0.73,0.42,0.64,0.76,0.36
972,'2021/06/24 18:53:19:976',32,218,127,97,0.18,0.73,0.42,0.64,0.76,0.36
973,'2021/06/24 18:53:20:029',32,218,124,97,0.18,0.73,0.42,0.64,0.76,0.36
974,'2021/06/24 18:53:20:083',32,215,120,99,0.18,0.73,0.42,0.64,0.76,0.36
975,'2021/06/24 18:53:20:137',32,224,123,90,0.18,0.73,0.42,0.64,0.76,0.36
976,'2021/06/24 18:53:20:197',32,219,120,95,0.18,0.73,0.42,0.64,0.76,0.36
977,'2021/06/24 18:53:20:254',32,218,121,95,0.18,0.73,0.42,0.64,0.76,0.36
978,'2021/06/24 18:53:20:307',32,217,119,97,0.18,0.73,0.42,0.64,0.76,0.36
979,'2021/06/24 18:53:20:358',32,216,118,99,0.18,0.73,0.42,0.64,0.76,0.36
980,'2021/06/24 18:53:20:412',32,215,118,100,0.18,0.73,0.42,0.64,0.76,0.36
981,'2021/06/24 18:53:20:466',32,214,119,100,0.18,0.73,0.42,0.64,0.76,0.36
982,'2021/06/24 18:53:20:520',32,212,117,103,0.18,0.73,0.42,0.64,0.76,0.36
983,'2021/06/24 18:53:20:575',32,212,117,103,0.18,0.73,0.42,0.64,0.76,0.36
984,'2021/06/24 18:53:20:628',32,215,119,99,0.18,0.73,0.42,0.64,0.76,0.36
985,'2021/06/24 18:53:20:681',32,211,117,104,0.18,0.73,0.42,0.64,0.76,0.36
986,'2021/06/24 18:53:20:735',32,213,118,101,0.18,0.73,0.42,0.64,0.76,0.36
987,'2021/06/24 18:53:20:791',32,215,118,100,0.18,0.73,0.42,0.64,0.76,0.36
988,'2021/06/24 18:53:20:852',32,210,117,104,0.18,0.73,0.42,0.64,0.76,0.36
989,'2021/06/24 18:53:20:905',32,212,118,103,0.18,0.73,0.42,0.64,0.76,0.36
990,'2021/06/24 18:53:22:743',33,213,130,101,0.18,0.73,0.42,0.64,0.76,0.36
991,'2021/06/24 18:53:22:795',33,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
992,'2021/06/24 18:53:22:849',33,215,131,100,0.18,0.73,0.42,0.64,0.76,0.36
993,'2021/06/24 18:53:22:904',33,216,131,97,0.18,0.73,0.42,0.64,0.76,0.36
994,'2021/06/24 18:53:22:961',33,216,131,97,0.18,0.73,0.42,0.64,0.76,0.36
995,'2021/06/24 18:53:23:013',33,213,130,101,0.18,0.73,0.42,0.64,0.76,0.36
996,'2021/06/24 18:53:23:065',33,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
997,'2021/06/24 18:53:23:118',33,213,130,101,0.18,0.73,0.42,0.64,0.76,0.36
998,'2021/06/24 18:53:23:171',33,212,129,101,0.18,0.73,0.42,0.64,0.76,0.36
999,'2021/06/24 18:53:23:223',33,210,129,104,0.18,0.73,0.42,0.64,0.76,0.36
1000,'2021/06/24 18:53:23:275',33,214,129,100,0.18,0.73,0.42,0.64,0.76,0.36
1001,'2021/06/24 18:53:23:330',33,212,129,101,0.18,0.73,0.42,0.64,0.76,0.36
1002,'2021/06/24 18:53:23:382',33,212,129,101,0.18,0.73,0.42,0.64,0.76,0.36
1003,'2021/06/24 18:53:23:435',33,214,130,100,0.18,0.73,0.42,0.64,0.76,0.36
1004,'2021/06/24 18:53:23:487',33,214,130,100,0.18,0.73,0.42,0.64,0.76,0.36
1005,'2021/06/24 18:53:23:538',33,212,129,101,0.18,0.73,0.42,0.64,0.76,0.36
1006,'2021/06/24 18:53:23:591',33,214,130,100,0.18,0.73,0.42,0.64,0.76,0.36
1007,'2021/06/24 18:53:23:647',33,214,130,100,0.18,0.73,0.42,0.64,0.76,0.36
1008,'2021/06/24 18:53:23:699',33,214,130,100,0.18,0.73,0.42,0.64,0.76,0.36
1009,'2021/06/24 18:53:23:753',33,216,131,97,0.18,0.73,0.42,0.64,0.76,0.36
1010,'2021/06/24 18:53:23:807',33,216,131,98,0.18,0.73,0.42,0.64,0.76,0.36
1011,'2021/06/24 18:53:31:148',34,214,124,101,0.18,0.73,0.42,0.64,0.76,0.36
1012,'2021/06/24 18:53:31:214',34,218,125,97,0.18,0.73,0.42,0.64,0.76,0.36
1013,'2021/06/24 18:53:31:265',34,218,125,97,0.18,0.73,0.42,0.64,0.76,0.36
1014,'2021/06/24 18:53:31:319',34,218,125,97,0.18,0.73,0.42,0.64,0.76,0.36
1015,'2021/06/24 18:53:31:373',34,218,125,96,0.18,0.73,0.42,0.64,0.76,0.36
1016,'2021/06/24 18:53:31:426',34,218,125,96,0.18,0.73,0.42,0.64,0.76,0.36
1017,'2021/06/24 18:53:31:477',34,218,125,96,0.18,0.73,0.42,0.64,0.76,0.36
1018,'2021/06/24 18:53:31:537',34,216,123,99,0.18,0.73,0.42,0.64,0.76,0.36
1019,'2021/06/24 18:53:31:590',34,216,123,99,0.18,0.73,0.42,0.64,0.76,0.36
1020,'2021/06/24 18:53:31:643',34,219,125,97,0.18,0.73,0.42,0.64,0.76,0.36
1021,'2021/06/24 18:53:31:700',34,221,127,94,0.18,0.73,0.42,0.64,0.76,0.36
1022,'2021/06/24 18:53:31:753',34,219,124,96,0.18,0.73,0.42,0.64,0.76,0.36
1023,'2021/06/24 18:53:31:809',34,216,123,99,0.18,0.73,0.42,0.64,0.76,0.36
1024,'2021/06/24 18:53:31:866',34,211,118,105,0.18,0.73,0.42,0.64,0.76,0.36
1025,'2021/06/24 18:53:31:919',34,211,118,104,0.18,0.73,0.42,0.64,0.76,0.36
1026,'2021/06/24 18:53:31:972',34,211,118,104,0.18,0.73,0.42,0.64,0.76,0.36
1027,'2021/06/24 18:53:32:025',34,211,118,104,0.18,0.73,0.42,0.64,0.76,0.36
1028,'2021/06/24 18:53:32:080',34,212,118,103,0.18,0.73,0.42,0.64,0.76,0.36
1029,'2021/06/24 18:53:32:134',34,215,120,99,0.18,0.73,0.42,0.64,0.76,0.36
1030,'2021/06/24 18:53:32:189',34,212,119,103,0.18,0.73,0.42,0.64,0.76,0.36
1031,'2021/06/24 18:53:32:242',34,213,120,101,0.18,0.73,0.42,0.64,0.76,0.36
1032,'2021/06/24 18:53:32:294',34,213,122,101,0.18,0.73,0.42,0.64,0.76,0.36
1033,'2021/06/24 18:53:32:347',34,212,118,103,0.18,0.73,0.42,0.64,0.76,0.36
1034,'2021/06/24 18:53:32:399',34,212,121,103,0.18,0.73,0.42,0.64,0.76,0.36
1035,'2021/06/24 18:53:32:452',34,213,122,101,0.18,0.73,0.42,0.64,0.76,0.36
1036,'2021/06/24 18:53:32:512',34,214,119,101,0.18,0.73,0.42,0.64,0.76,0.36
1037,'2021/06/24 18:53:32:565',34,214,119,101,0.18,0.73,0.42,0.64,0.76,0.36
1038,'2021/06/24 18:53:35:842',35,215,126,98,0.18,0.73,0.42,0.64,0.76,0.36
1039,'2021/06/24 18:53:35:896',35,214,125,99,0.18,0.73,0.42,0.64,0.76,0.36
1040,'2021/06/24 18:53:35:949',35,215,127,99,0.18,0.73,0.42,0.64,0.76,0.36
1041,'2021/06/24 18:53:36:002',35,216,126,98,0.18,0.73,0.42,0.64,0.76,0.36
1042,'2021/06/24 18:53:36:058',35,214,124,100,0.18,0.73,0.42,0.64,0.76,0.36
1043,'2021/06/24 18:53:36:117',35,214,126,99,0.18,0.73,0.42,0.64,0.76,0.36
1044,'2021/06/24 18:53:36:170',35,217,126,97,0.18,0.73,0.42,0.64,0.76,0.36
1045,'2021/06/24 18:53:36:224',35,217,127,97,0.18,0.73,0.42,0.64,0.76,0.36
1046,'2021/06/24 18:53:36:277',35,217,126,97,0.18,0.73,0.42,0.64,0.76,0.36
1047,'2021/06/24 18:53:36:329',35,215,125,98,0.18,0.73,0.42,0.64,0.76,0.36
1048,'2021/06/24 18:53:36:382',35,216,126,97,0.18,0.73,0.42,0.64,0.76,0.36
